,created_at,res,full_text,screen_name,followers_count,friends_count,retweet_count,favorite_count,Hashtag
1738,Mon Mar 22 03:45:14 +0000 2021,1,"Just began watching the #SnydersCut and I am annoyed that they made Wonder Woman go into a cave with pumps. Like, really???",NatiCantet,432,840,0,0,snyderscut.
1033,Fri Mar 26 03:22:52 +0000 2021,1,"RT @INCMumbai: The double standards in these two tweets escape no one!

Isse kehte hain AAP beeti?

#GNCTDBill #नहीं_भूलेंगे https://t.co/A…",vinodlobhe,30,65,175,0,GNCTDBill
232,Tue Mar 23 16:24:08 +0000 2021,1,"RT @Krishthefighter: Men-The Martyr's (The_शहीद)
 of
 ""Morden Indian_Marriage"" due to 
#LegalTerrorism &amp; #LegalExtortion
So Save Men, Save…",Vhikasa5,2039,4080,20,0,MartyrsDay
2503,Thu Mar 25 17:32:48 +0000 2021,1,"RT @Nher_who: Few Days ago Swedish Institute reports called India an Electoral Autocracy

Today Modi Govt passed #GNCTDBill and snatched po…",Sahilll314,58,91,846,0,GNCTDBill
763,Tue Mar 23 17:46:22 +0000 2021,0,"RT @saahilmenghani: Numbers shoot up at #FarmersProtest sites as young farmers arrive from villages on #MartyrsDay, #शहीद_दिवस.
SINGHU…",sarkamalc,352,307,607,0,MartyrsDay
1004,Sun Mar 21 12:07:07 +0000 2021,1,Hear how #poetry helps the central character of this real life drama.  For #WorldPoetryDay - #free This week only - https://t.co/vR0wpEARKX https://t.co/lF20SmPr5Y,PodcastsInfo,170,212,0,0,WorldPoetryDay
1547,Thu Mar 25 23:03:11 +0000 2021,1,RT @NandyAsmita: It didn't stop with Kashmir. It won't stop with Delhi. #GNCTDBill passed!,Raza4Justice,31,168,793,0,GNCTDBill
1917,Thu Mar 25 19:09:53 +0000 2021,1,RT @CuriousVaidya: Since yesterday I am having a strong feeling that #centralgovt should appoint @thekiranbedi ma'am as Lieutenant governor…,SweetCookiesme,537,0,2,0,GNCTDBill
829,Fri Mar 26 04:27:31 +0000 2021,1,"RT @AparBharat: While Hyper Hindus keep calling Mota Bhai was a weak man...

Mota Bhai has delivered another landmark bill #GNCTDBill

Keep…",Chinmay_150847,410,1206,284,0,GNCTDBill
344,Fri Mar 26 07:42:26 +0000 2021,1,@ArvindKejriwal after #GNCTDBill https://t.co/tRL4qLFc59,sbala13,276,640,0,0,GNCTDBill
718,Wed Mar 31 04:48:30 +0000 2021,0,"Just started trending in Pakistan.

#instagramdown
Ufff
Happiest
Great Job
Sheikh
Nawaz Sharif
louis tomlinson
Selena
Hayeee
Trump
Itne
China
Islam
south punjab
Almighty Allah
just dm
Aray
Bilkul",TopTrendsWatch,11366,2,2,2,instagramdown  .
2527,Thu Mar 25 17:30:13 +0000 2021,1,RT @GorwayGlobal: With the #GNCTDBill India is waking up to the realization that when they said #CongressMuktBharat they actually were hint…,IsabelKishan,386,487,5,0,GNCTDBill
114,Wed Mar 31 05:01:58 +0000 2021,1,RT @inayomeister: Me who knew about #instagramdown on twitter before opening instagram:- https://t.co/ZcSLNpv0jt,ZankokuAmane,458,743,125,125,instagramdown  .
811,Sun Mar 21 12:07:41 +0000 2021,1,"RT @UNESCO: 21 March is #WorldPoetryDay! Let's celebrate the power of #poetry to shake us from everyday life!

📝 https://t.co/ygsuIzTfzC #S…",eRiKa_dkdcdgf,133,107,455,0,WorldPoetryDay
1104,Fri Mar 26 03:04:13 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",MrBrijeshVerma2,2,34,4882,0,GNCTDBill
30,Wed Mar 31 23:12:15 +0000 2021,1,again??? a fuckin gain??? #instagramdown,zuphorias,290,244,3,3,instagramdown  .
178,Tue Mar 23 16:43:02 +0000 2021,1,"RT @Uditraj4169: “They may kill me, but they cannot kill my ideas.
If the deaf have to hear, the sound has to be very loud"" 
~Bhagat Singh…",imsaurabh__7,11,59,3,0,MartyrsDay
681,Sun Mar 21 12:08:41 +0000 2021,1,RT @VexKing: Happy #WorldPoetryDay https://t.co/I5CgZyZpdW,ryllenshie,10,32,18,18,WorldPoetryDay
665,Sat Mar 20 08:24:29 +0000 2021,1,"RT @arvind8950: #जब_तक_जाति_तब_तक_आरक्षण
#modi_rojgar_do https://t.co/T4Mh5ROqeq",RamKhare15,46,52,4,0,modirozgardo
1945,Thu Mar 25 19:04:02 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",rohanleo8,35,82,6862,0,GNCTDBill
1363,Fri Mar 26 01:36:06 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",Pardeep78289156,9,33,4882,0,GNCTDBill
805,Tue Mar 23 18:36:03 +0000 2021,1,"fighters are not between us but, their ideology still prevails. #InquilabZindabad!! #Waheguruji #SikhsForIndia #IndiaForSikhs #Legend #Revolutionary #MartyrsDay #ShaheedDiwas #BhagatSingh #FreedomFighter https://t.co/bKUa8kK3lA",Gagande12659402,915,1452,0,0,MartyrsDay
1451,Sun Mar 21 12:08:36 +0000 2021,1,"RT @britishmuseum: 📚 Where would you like to be reading this #WorldPoetryDay? 

This Chinese painted scroll – ‘Reading in the Autumn Forest…",DECCLESIS,15478,14729,85,0,WorldPoetryDay
2538,Mon Mar 22 04:07:31 +0000 2021,1,It takes a lot of blue to stay green..#save water #save life..😄#WorldWaterDay https://t.co/I8z3IRihoJ,rashi23_,3,7,0,0,WorldWaterDay.
1459,Fri Mar 26 00:38:17 +0000 2021,1,"RT @Rz1505: AAP blames every thing for Congress.
GNCTD Bill was passed  by BJP, but still AAPians blame Congress.
Remeber congress opposed…",VJ_AnandINC,3048,1190,98,0,GNCTDBill
2463,Sun Mar 21 15:36:30 +0000 2021,1,RT @BluRayAngel: This is Zack Snyder’s greatest one perfect shot #SnydersCut https://t.co/Z0YyRq8YkQ,mike16150273,1,15,87,0,snyderscut.
2068,Thu Mar 25 18:37:42 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",Sameena05853883,5,63,4885,0,GNCTDBill
2778,Thu Mar 25 16:55:41 +0000 2021,1,"RT @INCMumbai: The double standards in these two tweets escape no one!

Isse kehte hain AAP beeti?

#GNCTDBill #नहीं_भूलेंगे https://t.co/A…",Vineethagaddad,148,122,175,0,GNCTDBill
316,Fri Mar 26 08:08:13 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",firstclassdesi,109,250,4882,0,GNCTDBill
2213,Thu Mar 25 18:13:46 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",tauheedraza4441,102,456,4885,0,GNCTDBill
96,Wed Mar 31 07:28:15 +0000 2021,0,"I will Create Modern #flat #modern #web #ui #illustration any #design for your Website and mobile app feel free to contact me
https://t.co/jHNNf64zZ2

#web_illustration #flat_illustration #graphic_design
#Saweetie #MarchMadness #instagramdown #Colgate #FreeCodeFridayContest",gfx_designsquad,260,1350,0,0,instagramdown  .
347,Tue Mar 23 17:03:25 +0000 2021,1,"RT @HitpalBatth8: Bhagat Singh, Rajguru and Sukhdev Were Just 23 Years Old When They Were Hanged.
They Gave Their All For The Sake Of Freed…",BoronPashteen,1130,4576,71,0,MartyrsDay
267,Tue Mar 23 16:53:51 +0000 2021,1,"RT @realhimanshi: Tribute to the fearless heroes 🙏🏻🙏🏻
#BhagatSingh #MartyrsDay #Sukhdev #InquilabZindabad #23March #Sukhdev #ShaheediDiwas…",arif_zayn,86,491,273,0,MartyrsDay
2433,Sun Mar 21 14:46:36 +0000 2021,1,"RT @inaturalist: An Orange-headed #Thrush takes a bath - it's our Observation of the Day! Seen in #India by anil_kumar_verma.

More details…",lottas_sociala,966,4912,4,4,DaysOfCode.
293,Sun Mar 21 02:10:40 +0000 2021,1,"RT @KhanSir_: Educated unemployed youth, wake up.
  Hurt the country's shabby system.
 #modi_job_do
 #modi_rojgar_do 
#modi_job_do https://…",VikramS27411290,0,1,4898,0,modirozgardo
1891,Sun Mar 21 15:52:08 +0000 2021,1,"RT @kmahadevan89: Place an order through #Zomato entire order is spilled and the agents are they cant do anything. 
How am i supposed to co…",robinsamson17,68,843,0,0,Zomato.
2027,Thu Apr 01 17:23:32 +0000 2021,1,"RT @ruinedxjosh: Good news $AMC Apes!

#AMC had nearly a quarter of a million people in attendance for #GodzillaVsKong across their U.S. th…",burkekelly7,247,534,10,0,godzillavskong  .
756,Fri Apr 02 04:05:48 +0000 2021,1,"Who else thought Kong and Zilla were gonna do this at the end?
#GodzillaVsKong https://t.co/40YXCAMHAF",PincayChris,2673,499,0,0,godzillavskong  .
2753,Thu Mar 25 16:59:18 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",lateef_mhd,0,15,6862,0,GNCTDBill
1628,Sun Mar 21 14:54:16 +0000 2021,1,"RT @IamMonsterVJ: A Total Of 225 Million Views and 3M+ Likes Only On @YouTube 💥🔥Biggest Charbuster of The Decade 💥🔥

#Master @actorvijay 
#…",GunaSee99431,203,151,68,0,VaathiComing100MViews.
635,Tue Mar 23 17:24:13 +0000 2021,1,"RT @bolisetti_satya: 23rd March, Martyr's Day, on this day in 1931 three extraordinary revolutionary youth of India - Bhagat Singh, Shivara…",stopcovid84,61,116,105,0,MartyrsDay
2414,Thu Mar 25 17:45:36 +0000 2021,1,"RT @imMAK02: GNCTD Amendment Bill, 2021 passed by Modi govt in Parliament.

Nothing new, they have passed many bills in past too ! 

◆ Arti…",ParweenChahat,98,338,392,0,GNCTDBill
157,Sun Mar 21 12:01:02 +0000 2021,1,"This poem written by Peter Joyce is a sharp reminder of why Human Rights Day is an important day of reflection for South Africans. The fight against inequality took on many forms, including poetry… #HumanRightsDay #WorldPoetryDay https://t.co/2oug0GFLVm",cloudsmiths1,108,82,0,0,WorldPoetryDay
2491,Thu Mar 25 17:34:27 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",me_satyaa,232,306,4885,0,GNCTDBill
448,Tue Mar 23 15:41:31 +0000 2021,0,"RT @saahilmenghani: Numbers shoot up at #FarmersProtest sites as young farmers arrive from villages on #MartyrsDay, #शहीद_दिवस.
SINGHU…",Dsouzaclyde,978,1120,573,0,MartyrsDay
1081,Wed Mar 31 05:31:57 +0000 2021,1,"RT @i_m_himansh_: Insta Down scenes in Twitter headquarters

#instagramdown https://t.co/NtY1DGNPlp",nehashp,85,77,7,7,instagramdown.
289,Fri Mar 26 08:26:18 +0000 2021,1,RT @FunMauji: .@ArvindKejriwal with the india's most powerful chief ministers. 🤣  #GNCTDBill https://t.co/qvLKH3UjGW,sabchorhaiji,19,15,49,0,GNCTDBill
1197,Tue Mar 23 16:41:54 +0000 2021,1,"RT @DelhiTimesTweet: #DTPoll: Which of these films had the best on-screen portrayals of #BhagatSingh, #Sukhdev and #Rajguru?

#ShaheedDiwas…",ShivamRathodMP,1757,1975,42,0,MartyrsDay
1540,Tue Mar 23 16:55:45 +0000 2021,1,"RT @westerncomd_IA: On #ShaheedDiwas, we pay rich tributes to the brave sons of India, #BhagatSingh, #Rajguru &amp; #Sukhdev at National Martyr…",SimratKang4,14,59,15,0,MartyrsDay
1348,Fri Mar 26 01:41:08 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",SHEELKumarGaut5,10,73,4882,0,GNCTDBill
2452,Thu Mar 25 17:40:50 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",surpursarita,70,169,6862,0,GNCTDBill
871,Thu Apr 01 17:26:10 +0000 2021,1,"RT @Neb153: The cinematography of the Monsterverse

#GodzillaVsKong https://t.co/McRjmxLXJE",vaquitabruull,302,393,420,420,godzillavskong  .
1294,Thu Apr 01 17:25:11 +0000 2021,1,RT @Kamendude: How I assume it’ll go down #GodzillaVsKong #Godzilla #Kong https://t.co/xVtz9WotmX,llimus,124,226,856,856,godzillavskong  .
1092,Sun Mar 21 12:01:46 +0000 2021,1,"@RandeepHooda The poet is the priest of the invisible. 
╔══════════════╗
      #WorldPoetryDay
╚══════════════╝ 
                 \ (✊) /
                   \ 🚩️/
                     -- --
                     |    |
               Retweet It",MeraNaamLikho,22,42,0,0,WorldPoetryDay
2144,Sun Mar 21 16:11:45 +0000 2021,1,"Rewatching #FalconAndTheWinterSoldier when I noticed ""P. W. Hauser"" on his list - is this Sebastian Stan's pal/I, Tonya co-star @PaulWHauser 😂 https://t.co/tH8TCvnsLM",glitterspitx,361,600,0,1,FalconAndTheWinterSoldier.
2158,Sun Mar 21 15:24:15 +0000 2021,1,RT @r0me_03: Steppenwolf's look in Zack Snyder's Justice League is better than the 2017's Justice League. He looks more scarier and he got…,Czargate,197,1750,0,0,snyderscut.
2316,Thu Mar 25 17:59:11 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",Amrinde75954961,51,101,6862,0,GNCTDBill
147,Sun Mar 21 11:38:24 +0000 2021,1,"#WorldPoetryDay
Listen to Love's Secret By William Blake on #SoundCloud
https://t.co/WTIVDIgOhz",thePaulGarrard,459,473,0,0,WorldPoetryDay
2409,Sun Mar 21 11:27:49 +0000 2021,1,"RT @IDivyaPathak: Encourage your kid in participation in sports or school activities. 
Stop the addiction. #SavetheYouthBanFauG
fauG has mi…",ajaypopat,470,1548,1,0,SavetheYouthBanFauG.
536,Sun Mar 21 11:41:06 +0000 2021,1,"RT @iTz_TFB: #VaathiComing hits 50M Views in just 21 Days and 100M Views in Just 53 Days 😎💥

#VaathiComing100MViews @actorvijay #Master",JOSHMS12,930,2602,165,0,VaathiComing100MViews.
744,Sat Mar 20 06:40:00 +0000 2021,1,"RT @iamthesrtg12: Modi ji when you will prove this meme wrong? 
@narendramodi @AmitShah @RahulGandhi @TheDeshBhakt @shambhav15 @loksabhaspe…",rafeabdul51,65,34,149,0,modirozgardo
2058,Thu Mar 25 18:39:25 +0000 2021,1,"RT @RaisinaHouse: #PolicyDecoded

Read about the latest Government of National Capital Territory of Delhi Amendment Bill 2021 #decoded and…",agrawalrashika,41,191,1,0,GNCTDBill
2060,Thu Mar 25 18:38:48 +0000 2021,1,"Soon the government will pass a bill where we won’t have to vote never again and they’ll run the country.
#GNCTDBill",sainathhhhhh,588,523,1,9,GNCTDBill
557,Sun Mar 21 11:43:47 +0000 2021,1,RT @YouBelong_2019: Did you know it’s #WorldPoetryDay? I know there are some Christian poets out there. Two in love in particular are @emmu…,SocialHermitCal,1199,4998,1,0,WorldPoetryDay
236,Fri Mar 26 09:04:54 +0000 2021,1,"RT @unmatchedurvi: Q1. What makes the NCT (Amendment) Bill, 2021 controversial?
Q2. Why did the Central Government propose amendments to th…",Nupur_4,290,404,2,0,GNCTDBill
269,Tue Mar 23 16:53:27 +0000 2021,1,"𝘿𝙚𝙖𝙙𝙡𝙮 𝘼𝙩𝙩𝙖𝙘𝙠: 𝙉𝙖𝙭𝙖𝙡𝙨 𝙗𝙡𝙤𝙬 𝙪𝙥 𝙖 𝙗𝙪𝙨 𝙬𝙞𝙩𝙝 𝙨𝙚𝙘𝙪𝙧𝙞𝙩𝙮 𝙥𝙚𝙧𝙨𝙤𝙣𝙣𝙚𝙡 𝙞𝙣 𝘾𝙝𝙖𝙩𝙩𝙞𝙨𝙜𝙖𝙧𝙝; 5 𝙢𝙖𝙧𝙩𝙮𝙧𝙚𝙙 

#IEDblast #ied #pupulse #Terrorists #police #IndianArmy #Chattisgarh #Naxals #MartyrsDay https://t.co/zlfDCMyvk2",pu_pulse,197,12,0,0,MartyrsDay
478,0,1,"Remembering &amp; Paying tributes to #BhagatSingh #Rajguru #Sukhdev and their sacrifices to the motherland. Salute to the heroes On the #MartyrsDay 
#ShaheedDiwas #JaiHind. https://t.co/lDc4mdUpn9",suriayer,51,167,0,0,MartyrsDay
1191,Wed Mar 31 06:17:38 +0000 2021,1,"@incognitomma lots of users' app has crashed.📛
Since IG does nothing to fix,I have a solution that you can keep being active on #instagram sharing posts, sending DMs, like, follow, comments and all those things even if #Instagramisdown.
Here is how😁👇
https://t.co/uCG9551qQm  
#instagramdown https://t.co/HquUqjNmNi",instazood,3877,4805,0,0,instagramdown  .
588,Sat Mar 20 10:44:37 +0000 2021,1,"RT @amitroy07024355: @PMOIndia @narendramodi #modi_rojgar_do 
#modi_job_do 
#modi_jawab_do",amitroy07024355,2,44,1,0,modirozgardo
2326,Thu Mar 25 17:57:41 +0000 2021,1,RT @GorwayGlobal: With the #GNCTDBill India is waking up to the realization that when they said #CongressMuktBharat they actually were hint…,shibuindie,375,270,5,0,GNCTDBill
1937,Thu Mar 25 19:06:23 +0000 2021,1,"RT @ndtv: Watch | With the #GNCTDBill passed in parliament, all powers now rest with the Lieutenant Governor. BJP says it will streamline g…",Ron____0,205,305,62,0,GNCTDBill
1733,Thu Mar 25 20:21:04 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",raviraj619,41,253,4882,0,GNCTDBill
2530,Sun Mar 21 11:42:49 +0000 2021,1,"RT @DeviOfficial7: Devi coming othea😅

TAG: #VaathiComing100MViews
#Master @actorvijay",VijayisMylifew,334,503,96,0,VaathiComing100MViews.
455,Tue Mar 23 16:55:45 +0000 2021,1,"RT @westerncomd_IA: On #ShaheedDiwas, we pay rich tributes to the brave sons of India, #BhagatSingh, #Rajguru &amp; #Sukhdev at National Martyr…",SimratKang4,14,59,15,0,MartyrsDay
641,Sun Mar 21 12:08:20 +0000 2021,1,"RT @AuschwitzMuseum: #WorldPoetryDay | ""The Garden” by Franta Bass. 

Franta was a Czech Jewish boy born in Brno on 4 September 1930, depor…",GurrAlexander,96,381,843,0,WorldPoetryDay
407,Fri Mar 26 07:04:12 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",thejugalpandey,72,293,4882,0,GNCTDBill
2675,Thu Mar 25 17:08:32 +0000 2021,1,"RT @alashshukla: I am watching so many accounts making memes and joking about snatching power of a elected government.
Guys SHAME ON YOU.…",ChetnaLokesh,400,646,4,0,GNCTDBill
162,Sun Mar 21 05:42:24 +0000 2021,1,"RT @Ranisingh55: #StudentsWantJobs 
We will never stop 
Stay positive stay energetic
Do it for yourself 🖤
#modi_rojgar_दो 
#modi_rojgar_do…",Satyam150389,38,93,80,0,modirozgardo
834,Sun Mar 21 11:43:02 +0000 2021,1,"RT @VijayFansTrends: #VaathiComing100MViews trending at top of India Trends with more than 100K tweets 👊 

#Master @actorvijay",VfcNijin,93,32,590,0,VaathiComing100MViews.
243,Tue Mar 23 18:42:31 +0000 2021,0,RT @punjab_wc: Lets get together for the justice to the farmers and give tribute to the martyrs who have taught us to fight against injust…,Baldev52633391,513,310,7,0,MartyrsDay
16,Sun Mar 21 11:42:51 +0000 2021,1,"RT @DD_nas_: Crossed 30K tweets and trending at top of India Trends 😎

#VaathiComing100MViews
#Master @actorvijay",RanRoks,151,341,66,0,VaathiComing100MViews.
2044,Thu Mar 25 18:42:22 +0000 2021,1,"RT @ndtv: Watch | With the #GNCTDBill passed in parliament, all powers now rest with the Lieutenant Governor. BJP says it will streamline g…",FakirHu,1334,4014,62,0,GNCTDBill
500,Tue Mar 23 17:35:58 +0000 2021,1,"RT @TheDeshBhakt: From his thoughts on region, press, violence - to his relationship with Nehru &amp; Gandhi. (Was there a mercy petition to th…",JanguJournlist,58,130,355,0,MartyrsDay
2775,Thu Mar 25 16:55:54 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",Ujjwaltulsani,2,26,4885,0,GNCTDBill
1976,Thu Mar 25 18:55:55 +0000 2021,1,"RT @abhijeet_dipke: Within 24 hrs of passing the #GNCTDBill, BJP asks LG to stop implementation of Doorstep Delivery of Ration. 

 https://…",ShanuAhluwalia,1522,4091,56,0,GNCTDBill
2064,Thu Mar 25 18:38:29 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",Syedsha88707381,21,1,4885,0,GNCTDBill
373,Sun Mar 21 15:23:11 +0000 2021,1,RT @Lordzigzag_: LOL this is so true hahaha #SnydersCut  #JusticeLeagueSnyderCut  #WonderWoman https://t.co/cxyqln5CBF,streetsimple_,1,41,109,0,snyderscut.
972,Fri Mar 26 03:46:23 +0000 2021,1,"RT @INCMumbai: The double standards in these two tweets escape no one!

Isse kehte hain AAP beeti?

#GNCTDBill #नहीं_भूलेंगे https://t.co/A…",Kisan_Kolhapur,411,192,175,0,GNCTDBill
752,Fri Mar 26 04:50:41 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",shutupanu,43,137,4882,0,GNCTDBill
709,Fri Mar 26 05:03:20 +0000 2021,0,"RT @MANJULtoons: #GNCTDBill
My #cartoon for @firstpost
Telegram: https://t.co/0zuidcPdqY https://t.co/AAD6fyoaaR",darshaks111,19,161,170,0,GNCTDBill
821,Tue Mar 23 18:18:36 +0000 2021,1,RT @CartoonistSan: Old one. #MartyrsDay https://t.co/YB1GwabomT,Amanmeshram12,47,94,0,340,MartyrsDay
72,Sun Mar 21 16:01:59 +0000 2021,1,RT @Bosslogic: Tony Stark really left the Avengers needing 2 jobs 😭 #FalconAndTheWinterSoldier https://t.co/YjYFfB5ddl,batmansblackman,111,615,2936,2936,FalconAndTheWinterSoldier.
